District_id,District,State_id,Population
0,Nicobars,1,36842
1,North and Middle Andaman,1,
2,South Andaman,1,238142
3,Unknown,1,
4,Foreign Evacuees,2,
5,Anantapur,2,4081148
6,Chittoor,2,4174064
7,East Godavari,2,5154296
8,Guntur,2,4887813
9,Krishna,2,4517398
10,Kurnool,2,4053463
11,Other State,2,
12,Prakasam,2,3397448
13,S.P.S. Nellore,2,
14,Srikakulam,2,2703114
15,Visakhapatnam,2,4290589
16,Vizianagaram,2,2344474
17,West Godavari,2,3936966
18,Y.S.R. Kadapa,2,
19,Unknown,2,
20,Anjaw,3,21167
21,Changlang,3,148226
22,East Kameng,3,78690
23,East Siang,3,99214
24,Kamle,3,
25,Kra Daadi,3,
26,Kurung Kumey,3,92076
27,Lepa Rada,3,
28,Lohit,3,145726
29,Longding,3,
30,Lower Dibang Valley,3,54080
31,Lower Siang,3,
32,Lower Subansiri,3,83030
33,Namsai,3,
34,Pakke Kessang,3,
35,Papum Pare,3,176573
36,Shi Yomi,3,
37,Siang,3,
38,Tawang,3,49977
39,Tirap,3,111975
40,Upper Dibang Valley,3,
41,Upper Siang,3,35320
42,Upper Subansiri,3,83448
43,West Kameng,3,83947
44,West Siang,3,112274
45,Unknown,3,
46,Airport Quarantine,4,
47,Baksa,4,950075
48,Barpeta,4,1693622
49,Biswanath,4,
50,Bongaigaon,4,738804
51,Cachar,4,1736617
52,Charaideo,4,
53,Chirang,4,482162
54,Darrang,4,928500
55,Dhemaji,4,686133
56,Dhubri,4,1949258
57,Dibrugarh,4,1326335
58,Dima Hasao,4,214102
59,Goalpara,4,1008183
60,Golaghat,4,1066888
61,Hailakandi,4,659296
62,Hojai,4,
63,Jorhat,4,1092256
64,Kamrup,4,1517542
65,Kamrup Metropolitan,4,1253938
66,Karbi Anglong,4,956313
67,Karimganj,4,1228686
68,Kokrajhar,4,887142
69,Lakhimpur,4,1042137
70,Majuli,4,
71,Morigaon,4,957423
72,Nagaon,4,2823768
73,Nalbari,4,771639
74,Other State,4,
75,Sivasagar,4,1151050
76,Sonitpur,4,1924110
77,South Salmara Mankachar,4,
78,Tinsukia,4,1327929
79,Udalguri,4,831668
80,West Karbi Anglong,4,
81,Unknown,4,
82,Araria,5,2811569
83,Arwal,5,700843
84,Aurangabad,5,2540073
85,Banka,5,2034763
86,Begusarai,5,2970541
87,Bhagalpur,5,3037766
88,Bhojpur,5,2728407
89,Buxar,5,1706352
90,Darbhanga,5,3937385
91,East Champaran,5,
92,Gaya,5,4391418
93,Gopalganj,5,2562012
94,Jamui,5,1760405
95,Jehanabad,5,1125313
96,Kaimur,5,
97,Katihar,5,3071029
98,Khagaria,5,1666886
99,Kishanganj,5,1690400
100,Lakhisarai,5,1000912
101,Madhepura,5,2001762
102,Madhubani,5,4487379
103,Munger,5,1367765
