State_id,State,Population
0,State Unassigned,0
1,Andaman and Nicobar Islands,417036	
2,Andhra Pradesh,53903393
3,Arunachal Pradesh,1570458
4,Assam,35607039	
5,Bihar,124799926
6,Chandigarh,1158473
7,Chhattisgarh,29436231
8,Delhi,18710922	
9,Dadra and Nagar Haveli and Daman and Diu,615724	
10,Goa,1586250	
11,Gujarat,63872399	
12,Himachal Pradesh,7451955	
13,Haryana,28204692	
14,Jharkhand,38593948	
15,Jammu and Kashmir,13606320
16,Karnataka,67562686
17,Kerala,35699443	
18,Ladakh,289023	
19,Lakshadweep,73183
20,Maharashtra,123144223	
21,Meghalaya,3366710
22,Manipur,3091545
23,Madhya Pradesh,85358965
24,Mizoram,1239244
25,Nagaland,2s249695
26,Odisha,46356334
27,Punjab,30141373	
28,Puducherry,1413542
29,Rajasthan,81032689
30,Sikkim,690251
31,Telangana,39362732
32,Tamil Nadu,77841267
33,Tripura,4169794	
34,Uttar Pradesh,237882725
35,Uttarakhand,11250858
36,West Bengal,99609303
