date_1,State_id,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,0,0,0,0,0,0
2020-04-26,1,33,11,0,0,2679
2020-04-26,2,1097,231,31,0,68034
2020-04-26,3,1,1,0,0,568
2020-04-26,4,36,27,1,0,7823
2020-04-26,5,277,56,2,0,17041
2020-04-26,6,36,17,0,0,756
2020-04-26,7,37,32,0,0,13786
2020-04-26,8,2918,877,54,0,37613
2020-04-26,9,0,0,0,0,1901
2020-04-26,10,7,7,0,0,1206
2020-04-26,11,3301,313,151,0,51091
2020-04-26,12,40,22,2,3,4901
2020-04-26,13,296,199,3,0,21467
2020-04-26,14,82,13,3,0,7806
2020-04-26,15,523,137,6,0,13959
2020-04-26,16,503,182,19,0,42964
2020-04-26,17,469,342,4,0,22954
2020-04-26,18,20,16,0,0,1137
2020-04-26,19,0,0,0,0,0
2020-04-26,20,8068,1188,342,0,107979
2020-04-26,21,12,0,1,0,1169
2020-04-26,22,2,2,0,0,416
2020-04-26,23,2090,302,103,0,25232
2020-04-26,24,1,0,0,0,146
2020-04-26,25,0,0,0,0,613
2020-04-26,26,103,35,1,0,22816
2020-04-26,27,322,84,18,0,14317
2020-04-26,28,8,4,0,0,1977
2020-04-26,29,2185,629,41,0,82942
2020-04-26,30,0,0,0,0,0
2020-04-26,31,1001,316,25,0,14962
2020-04-26,32,1885,1020,24,0,87605
2020-04-26,33,2,2,0,0,3215
2020-04-26,34,1873,327,30,0,61799
2020-04-26,35,51,26,0,0,5277
2020-04-26,36,611,105,20,0,10893
2020-04-27,0,0,0,0,0,0
2020-04-27,1,0,0,0,0,169
2020-04-27,2,80,4,0,0,6517
2020-04-27,3,0,0,0,0,16
2020-04-27,4,0,0,0,0,294
2020-04-27,5,69,0,0,0,1138
2020-04-27,6,9,0,0,0,87
2020-04-27,7,0,0,0,0,1201
2020-04-27,8,190,0,0,0,2298
2020-04-27,9,0,0,0,0,478
2020-04-27,10,0,0,0,0,335
2020-04-27,11,247,81,11,0,2484
2020-04-27,12,0,3,0,0,205
2020-04-27,13,5,14,0,0,1526
2020-04-27,14,21,4,0,0,951
2020-04-27,15,23,27,1,0,1029
2020-04-27,16,9,11,1,1,2721
2020-04-27,17,13,13,0,0,1192
2020-04-27,18,0,0,0,0,0
2020-04-27,19,0,0,0,0,0
2020-04-27,20,522,94,27,0,7168
2020-04-27,21,0,0,0,0,85
2020-04-27,22,0,0,0,0,0
2020-04-27,23,75,55,7,0,1777
2020-04-27,24,0,0,0,0,0
2020-04-27,25,0,0,0,0,16
2020-04-27,26,15,2,0,0,2287
2020-04-27,27,8,14,1,0,1199
2020-04-27,28,0,1,0,0,37
2020-04-27,29,77,115,9,0,4835
2020-04-27,30,0,0,0,0,0
2020-04-27,31,2,16,0,0,0
