date_1,State_id,Total_Individuals_Registered,Total_Sessions_Conducted,Total_Sites ,First_Dose_Administered,Second_Dose_Administered,Male_Individuals_Vaccinated,Female_Individuals_Vaccinated,Transgender_Individuals_Vaccinated,Total_Covaxin_Administered,Total_CoviShield_Administered,Total_Individuals_Vaccinated,Total_Doses_Administered
2021-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-16,1,6028,2,2,23,0,12,11,0,0,23,23,23
2021-01-16,2,277023,541,339,4216,0,857,3359,0,0,4216,4216,4216
2021-01-16,3,13096,10,9,81,0,40,41,0,0,81,81,81
2021-01-16,4,236847,79,64,401,0,141,260,0,36,365,401,401
2021-01-16,5,298563,222,219,2967,0,926,2041,0,30,2937,2967,2967
2021-01-16,6,17849,5,5,120,0,94,26,0,0,120,120,120
2021-01-16,7,187856,101,98,1040,0,525,515,0,0,1040,1040,1040
2021-01-16,8,256878,91,81,892,0,525,367,0,33,859,892,892
2021-01-16,9,1766,4,2,23,0,13,10,0,0,23,23,23
2021-01-16,10,16349,7,7,50,0,16,34,0,0,50,50,50
2021-01-16,11,391120,107,95,1146,0,592,554,0,7,1139,1146,1146
2021-01-16,12,71601,34,30,202,0,116,86,0,0,202,202,202
2021-01-16,13,130131,97,82,1864,0,1020,844,0,113,1751,1864,1864
2021-01-16,14,120093,60,53,344,0,111,233,0,0,344,344,344
2021-01-16,15,113625,38,37,377,0,236,141,0,0,377,377,377
2021-01-16,16,369283,256,235,3810,0,1835,1975,0,78,3732,3810,3810
2021-01-16,17,292366,147,134,1681,0,593,1088,0,0,1681,1681,1681
2021-01-16,18,9378,1,1,9,0,0,9,0,0,9,9,9
2021-01-16,19,776,1,1,16,0,14,2,0,0,16,16,16
2021-01-16,20,812649,179,174,5726,0,3668,2057,1,85,5641,5726,5726
2021-01-16,21,45503,12,10,102,0,23,79,0,0,102,102,102
2021-01-16,22,57599,10,10,181,0,112,69,0,0,181,181,181
2021-01-16,23,304726,183,156,9435,0,5066,4368,1,0,9435,9435,9435
2021-01-16,24,10515,6,5,105,0,37,68,0,0,105,105,105
2021-01-16,25,34628,9,9,94,0,50,44,0,0,94,94,94
2021-01-16,26,325232,138,127,3420,0,1440,1980,0,19,3401,3420,3420
2021-01-16,27,132329,63,55,336,0,172,164,0,0,336,336,336
2021-01-16,28,13197,11,9,92,0,52,40,0,0,92,92,92
2021-01-16,29,371438,185,170,3285,0,2036,1249,0,117,3168,3285,3285
2021-01-16,30,11519,2,2,7,0,3,4,0,0,7,7,7
2021-01-16,31,202313,111,102,317,0,171,146,0,0,317,317,317
2021-01-16,32,252156,191,149,1167,0,622,545,0,6,1161,1167,1167
2021-01-16,33,28896,21,18,107,0,48,59,0,0,107,107,107
2021-01-16,34,806592,380,327,2212,0,1341,871,0,55,2157,2212,2212
2021-01-16,35,87193,37,33,511,0,294,217,0,0,511,511,511
2021-01-16,36,636509,114,107,1917,0,956,961,0,0,1917,1917,1917
2021-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,2,48,484,105,5035,0,1019,4015,1,0,5035,5035,5035
2021-01-17,3,2599,34,21,97,0,30,67,0,0,97,97,97
2021-01-17,4,1202,40,4,65,0,25,40,0,6,59,65,65
2021-01-17,5,10667,395,85,733,0,229,504,0,3,730,733,733
2021-01-17,6,7,2,0,0,0,0,0,0,0,0,0,0
2021-01-17,7,1191,123,4,0,0,0,0,0,0,0,0,0
2021-01-17,8,1682,197,0,113,0,78,35,0,3,110,113,113
2021-01-17,9,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,10,19,3,0,0,0,0,0,0,0,0,0,0
2021-01-17,11,36587,244,94,1167,0,526,641,0,7,1160,1167,1167
2021-01-17,12,107,89,59,0,0,0,0,0,0,0,0,0
2021-01-17,13,684,202,126,205,0,122,83,0,0,205,205,205
2021-01-17,14,270,76,9,0,0,0,0,0,0,0,0,0
2021-01-17,15,44526,63,3,44,0,32,12,0,0,44,44,44
2021-01-17,16,570,1129,904,696,0,538,158,0,4,692,696,696
2021-01-17,17,709,170,22,155,0,50,105,0,0,155,155,155
2021-01-17,18,243,1,1,0,0,0,0,0,0,0,0,0
2021-01-17,19,0,9,8,1,0,0,1,0,0,1,1,1
2021-01-17,20,2065,90,42,795,0,285,509,1,9,786,795,795
2021-01-17,21,100,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,22,4426,9,2,11,0,4,7,0,0,11,11,11
2021-01-17,23,1461,275,2,0,0,0,0,0,0,0,0,0
2021-01-17,24,795,5,1,0,0,0,0,0,0,0,0,0
2021-01-17,25,882,27,12,0,0,0,0,0,0,0,0,0
2021-01-17,26,5352,184,83,116,0,47,69,0,0,116,116,116
2021-01-17,27,1088,78,11,2,0,0,2,0,0,2,2,2
2021-01-17,28,8,8,0,0,0,0,0,0,0,0,0,0
2021-01-17,29,757,276,29,170,0,127,43,0,1,169,170,170
2021-01-17,30,393,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,31,11917,417,224,120,0,44,76,0,0,120,120,120
2021-01-17,32,1801,66,27,578,0,364,214,0,23,555,578,578
2021-01-17,33,3,51,23,0,0,0,0,0,0,0,0,0
2021-01-17,34,41850,4,3,12,0,4,8,0,0,12,12,12
2021-01-17,35,353,71,9,45,0,27,18,0,0,45,45,45
2021-01-17,36,1583,252,84,168,0,40,128,0,0,168,168,168
2021-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,1,-309,7,0,19,0,17,2,0,0,19,19,19
2021-01-18,2,-4857,433,137,2983,0,1098,1886,-1,0,2983,2983,2983
2021-01-18,3,13292,30,20,382,0,49,333,0,0,382,382,382
2021-01-18,4,-3217,171,6,256,0,95,161,0,21,235,256,256
2021-01-18,5,342,420,41,4183,0,1000,3183,0,7,4176,4183,4183
2021-01-18,6,-1539,5,1,38,0,22,16,0,0,38,38,38
2021-01-18,7,-257,0,0,616,0,201,415,0,0,616,616,616
2021-01-18,8,-9805,59,1,361,0,237,124,0,10,351,361,361
2021-01-18,9,0,2,2,-8,0,-4,-4,0,0,-8,-8,-8
2021-01-18,10,-773,10,1,-3,0,4,-7,0,0,-3,-3,-3
2021-01-18,11,-21309,247,98,-131,0,-47,-84,0,1,-132,-131,-131
2021-01-18,12,-562,14,2,150,0,62,88,0,0,150,150,150
2021-01-18,13,793,149,86,3291,0,1612,1679,0,118,3173,3291,3291
2021-01-18,14,765,127,4,405,0,97,308,0,0,405,405,405
2021-01-18,15,-2588,85,5,251,0,130,121,0,0,251,251,251
2021-01-18,16,-2919,614,363,10249,0,3749,6500,0,217,10032,10249,10249
2021-01-18,17,-166,171,24,730,0,103,627,0,0,730,730,730
2021-01-18,18,2039,1,1,55,0,15,40,0,0,55,55,55
2021-01-18,19,-34,0,0,220,0,215,5,0,0,220,220,220
2021-01-18,20,-3457,503,104,-370,0,-384,15,-1,11,-381,-370,-370
2021-01-18,21,-4425,32,3,-44,0,-9,-35,0,0,-44,-44,-44
2021-01-18,22,10171,21,3,-23,0,-20,-3,0,0,-23,-23,-23
2021-01-18,23,3019,9,0,6499,0,1733,4766,0,0,6499,6499,6499
2021-01-18,24,-390,27,3,-7,0,-3,-4,0,0,-7,-7,-7
2021-01-18,25,1726,50,32,221,0,83,138,0,0,221,221,221
2021-01-18,26,-29,237,104,4055,0,1242,2812,1,165,3890,4055,4055
2021-01-18,27,7345,82,26,340,0,156,184,0,0,340,340,340
2021-01-18,28,-1795,6,0,36,0,25,11,0,0,36,36,36
2021-01-18,29,-813,283,67,582,0,163,418,1,114,468,582,582
2021-01-18,30,649,4,1,0,0,0,0,0,0,0,0,0
2021-01-18,31,17176,678,382,2026,0,918,1107,1,0,2026,2026,2026
2021-01-18,32,-17209,90,25,1116,0,637,479,0,13,1103,1116,1116
2021-01-18,33,2214,42,24,123,0,23,100,0,0,123,123,123
2021-01-18,34,8681,43,8,-692,0,-438,-254,0,-13,-679,-692,-692
2021-01-18,35,1688,66,5,-39,0,-25,-14,0,0,-39,-39,-39
2021-01-18,36,37766,364,50,2975,0,1257,1718,0,0,2975,2975,2975
2021-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,1,1012,3,0,47,0,24,23,0,0,47,47,47
2021-01-19,2,8417,581,247,13305,0,6590,6715,0,0,13305,13305,13305
2021-01-19,3,366,3,1,14,0,3,11,0,0,14,14,14
2021-01-19,4,6404,43,4,532,0,164,368,0,47,485,532,532
2021-01-19,5,6920,174,7,7663,0,1812,5851,0,67,7596,7663,7663
2021-01-19,6,1094,0,0,7,0,-6,13,0,0,7,7,7
2021-01-19,7,5781,166,4,358,0,141,217,0,0,358,358,358
2021-01-19,8,10363,10,1,1675,0,997,678,0,118,1557,1675,1675
2021-01-19,9,17,0,0,16,0,6,10,0,0,16,16,16
2021-01-19,10,671,12,7,25,0,6,19,0,0,25,25,25
2021-01-19,11,30104,102,26,2660,0,1341,1319,0,0,2660,2660,2660
2021-01-19,12,899,2,0,96,0,47,49,0,0,96,96,96
2021-01-19,13,6799,169,102,6368,0,2837,3530,1,283,6085,6368,6368
2021-01-19,14,5266,106,2,706,0,210,496,0,0,706,706,706
2021-01-19,15,10772,56,10,697,0,370,327,0,0,697,697,697
2021-01-19,16,8402,789,491,10387,0,4370,6016,1,144,10243,10387,10387
2021-01-19,17,4989,56,5,2789,0,783,2006,0,0,2789,2789,2789
2021-01-19,18,196,1,1,0,0,0,0,0,0,0,0,0
2021-01-19,19,0,0,0,385,0,304,81,0,0,385,385,385
2021-01-19,20,39709,424,20,7548,0,2759,4786,3,109,7439,7548,7548
2021-01-19,21,2963,9,4,112,0,29,83,0,0,112,112,112
2021-01-19,22,5623,18,1,98,0,67,31,0,0,98,98,98
2021-01-19,23,7561,163,2,2475,0,1268,1207,0,0,2475,2475,2475
2021-01-19,24,1830,20,4,161,0,68,93,0,0,161,161,161
2021-01-19,25,1150,34,25,334,0,107,227,0,0,334,334,334
2021-01-19,26,5699,119,27,7216,0,3111,4105,0,431,6785,7216,7216
2021-01-19,27,4832,63,26,851,0,431,420,0,0,851,851,851
2021-01-19,28,1282,6,0,121,0,61,60,0,0,121,121,121
